pattern,is_exact
%%,0
%%%,0
%%5483525%%,0
%%IS DON%%,0
%%SIN %S%%,0
%%TUN CIR%%,0
%43%159%1%%,0
%43%15911%%,0
%4361%161%%,0
%80%471%%%%,0
%80%471%6%%,0
%8061%227%%,0
%ADIM %%,0
%ARATSH%%%%,0
%ARK%%,0
%C%A UYA%%,0
%ED-I UL%%,0
%EDU%A BL%%,0
%EFT FUA%%,0
%EO% RE%%,0
%ETVIZY%%,0
%EVINC KU%%,0
%FI%GI%%,0
%INAV KU%%,0
%ND%%MCAD%%,0
%NGLISHTI%%,0
%NTERAKT%%,0
%OLAR%%,0
%RS%%,0
%URKAY IN%%,0
%V%FIB%RN%%,0
+%%%2121%6%%,0
+%%06636%%%%,0
+%%123%9032%%,0
+%%145%324%%,0
+%%212%%%%6%%,0
+%%212%%8%%%%,0
+%%212%2%%3%%,0
+%%212%3538%%,0
+%%212%422%%%,0
+%%212%45%2%%,0
+%%212%45%8%%,0
+%%212%4584%%,0
+%%212%5267%%,0
+%%212%62%%%%,0
+%%212%64%5%%,0
+%%212%66%3%%,0
+%%212%7%78%%,0
+%%212267%8%%,0
+%%21231332%%,0
+%%21234%%2%%,0
+%%21234%55%%,0
+%%21238173%%,0
+%%212657%%%%,0
+%%2127%4%%%%,0
+%%21282422%%,0
+%%21282424%%,0
+%%21624%%2%%,0
+%%21624%%3%%,0
+%%21624%%8%%,0
+%%21624%1%%%,0
+%%21633411%%,0
+%%21638821%%,0
+%%2165%5%%%%,0
+%%21655%8%%%,0
+%%232215%6%%,0
+%%232287%1%%,0
+%%2323%3%%%%,0
+%%232335%5%%,0
+%%23233516%%,0
+%%232355%6%%,0
+%%232455%1%%,0
+%%232455%2%%,0
+%%232455%5%%,0
+%%232455%8%%,0
+%%23245514%%,0
+%%23252%41%%,0
+%%256234%7%%,0
+%%26623811%%,0
+%%312%6%81%%,0
+%%312385%%%%,0
+%%5%1%156%%,0
+%%5%172158%%,0
+%%5213%25%%,0
+%%53%33455%%,0
+%%5321116%%%,0
+%%533%524%%%,0
+%%534%45%4%%,0
+%%535%4184%%,0
+%%53641%4%%%,0
+%%53641%41%%,0
+%%54%3%1%2%%,0
+%%54%3%832%%,0
+%%54%52152%%,0
+%%54%68%2%%%,0
+%%54%83316%%,0
+%%54128%46%%,0
+%%54128%68%%,0
+%%54251%63%%,0
+%%54285%41%%,0
+%%54345125%%,0
+%%54364285%%,0
+%%54527%23%%,0
+%%54538%13%%,0
+%%54646835%%,0
+%%5465%%%6%%,0
+%%54884%12%%,0
+%%552%1%53%%,0
+%%552%14%7%%,0
+%%552%1581%%,0
+%%552%1784%%,0
+%%552%2%38%%,0
+%%55271%85%%,0
+%%6144651%%,0
+%%786006%0%%,0
+%%786006%2%%,0
+%%790%7069%%,0
+%%85%24%%3%%,0
+%%85%241%5%%,0
+%%85%473%8%%,0
+%%85%48%%5%%,0
+%%85%48%%6%%,0
+%%85%48%67%%,0
+%%85%5331%%%,0
+%%85%586%1%%,0
+%0%%%0%%%,0
+%0%%%08246%%,0
+%0%%2%4178%%,0
+%0%%202%1%%%,0
+%0%%202%10%%,0
+%0%%202%8%%%,0
+%0%%23%%76%%,0
+%0%1%%0010%%,0
+%0%1%%08%8%%,0
+%0%1%%0810%%,0
+%0%1%%1%00%%,0
+%0%1%%3%43%%,0
+%0%1%%31%3%%,0
+%0%1%%315%%%,0
+%0%1%%3538%%,0
+%0%1%%4501%%,0
+%0%1%%4580%%,0
+%0%1%%640%%%,0
+%0%1%%6600%%,0
+%0%1%%6605%%,0
+%0%1%%7%06%%,0
+%0%1%%75%0%%,0
+%0%1%%8%53%%,0
+%0%1%340%%%%,0
+%0%1%34746%%,0
+%0%1%38164%%,0
+%0%1%38165%%,0
+%0%1%7000%%%,0
+%0%1%70501%%,0
+%0%12%0508%%,0
+%0%125242%%%,0
+%0%1252422%%,0
+%0%16%%%%6%%,0
+%0%16%%810%%,0
+%0%16%4001%%,0
+%0%16%4007%%,0
+%0%16%4010%%,0
+%0%16%565%%%,0
+%0%16%6671%%,0
+%0%16%880%%%,0
+%0%164838%%%,0
+%0%16547%8%%,0
+%0%1661331%%,0
+%0%1670606%%,0
+%0%3%%4%00%%,0
+%0%3%%4115%%,0
+%0%3%4550%%%,0
+%0%3%45500%%,0
+%0%3%45501%%,0
